date,workout,energy burned (cal)
2025-09-23T18:09:17+1000,Cycling,244.0
2025-09-19T18:13:36+1000,Cycling,199.0
2025-09-18T18:03:09+1000,Cycling,243.0
2025-09-17T17:39:15+1000,Cycling,230.0
2025-09-16T18:07:24+1000,Cycling,231.0
2025-09-10T17:48:00+1000,Cycling,205.0
2025-09-09T17:42:18+1000,Cycling,258.0
2025-09-07T15:43:33+1000,Cycling,119.0
2025-09-07T12:31:11+1000,Cycling,127.0
2025-09-05T17:50:00+1000,Cycling,242.0
2025-09-04T18:05:38+1000,Cycling,237.0
2025-09-03T17:59:41+1000,Cycling,241.0
2025-09-02T18:00:45+1000,Cycling,235.0
2025-08-16T08:48:23+1000,Walking,62.0
2025-08-14T06:51:30+1000,Traditional Strength Training,90.0
2025-08-13T12:27:42+1000,Walking,128.0
2025-08-11T06:53:51+1000,Traditional Strength Training,108.0
2025-08-05T07:07:10+1000,Traditional Strength Training,130.0
2025-08-03T11:32:27+1000,Walking,158.0
2025-07-29T06:56:12+1000,Walking,97.0
2025-07-24T07:37:11+1000,Traditional Strength Training,266.0
2025-07-23T17:31:10+1000,Cycling,85.0
2025-07-23T07:24:53+1000,Traditional Strength Training,123.0
2025-07-22T06:34:47+1000,Walking,182.0
2025-07-21T07:35:00+1000,Traditional Strength Training,194.0
2025-07-21T06:40:17+1000,Walking,103.0
2025-07-20T13:30:16+1000,Walking,363.0
2025-07-19T08:08:03+1000,Traditional Strength Training,199.0
2025-07-19T07:05:43+1000,Walking,137.0
2025-07-17T07:33:27+1000,Traditional Strength Training,289.0
2025-07-16T07:17:58+1000,Traditional Strength Training,131.0
2025-07-16T06:34:21+1000,Walking,170.0
2025-07-15T07:31:34+1000,Pilates,69.0
2025-07-15T07:14:28+1000,Walking,171.0
2025-07-15T06:37:38+1000,Walking,190.0
2025-07-14T07:07:29+1000,Traditional Strength Training,182.0
2025-07-14T06:27:56+1000,Walking,177.0
2025-07-11T07:23:23+1000,Traditional Strength Training,248.0
2025-07-11T06:30:04+1000,Walking,158.0
2025-07-09T09:05:21+1000,Walking,222.0
2025-05-28T07:26:26+1000,Traditional Strength Training,136.0
2025-05-26T07:25:46+1000,Traditional Strength Training,114.0
2025-05-26T06:37:11+1000,Walking,102.0
2025-05-24T08:16:23+1000,Walking,151.0
2025-05-22T07:23:32+1000,Walking,238.0
2025-05-21T07:29:31+1000,Traditional Strength Training,218.0
2025-05-20T07:23:10+1000,Walking,231.0
2025-05-18T09:39:39+1000,Walking,155.0
2025-05-15T07:07:53+1000,Walking,114.0
2025-05-13T07:11:49+1000,Walking,140.0
2025-05-09T07:13:59+1000,Traditional Strength Training,116.0
2025-05-08T07:09:48+1000,Walking,59.0
2025-05-07T07:11:05+1000,Traditional Strength Training,80.0
2025-05-07T06:41:09+1000,Walking,87.0
2025-05-06T07:09:15+1000,Elliptical,269.0
2025-05-06T06:34:04+1000,Elliptical,13.0
2025-05-03T08:29:16+1000,Walking,94.0
2025-05-03T08:02:09+1000,Traditional Strength Training,115.0
2025-05-02T07:13:51+1000,Traditional Strength Training,142.0
2025-05-01T07:40:48+1000,Walking,185.0
2025-05-01T06:42:00+1000,Walking,101.0
2025-04-30T07:16:24+1000,Traditional Strength Training,97.0
2025-04-29T07:29:32+1000,Walking,199.0
2025-04-28T07:22:15+1000,Traditional Strength Training,156.0
2025-04-28T06:43:50+1000,Walking,73.0
2025-04-26T07:05:05+1000,Walking,122.0
2025-04-25T16:32:36+1000,Walking,250.0
2025-04-24T07:11:24+1000,Traditional Strength Training,157.0
2025-04-23T07:22:33+1000,Traditional Strength Training,136.0
2025-04-23T06:42:25+1000,Walking,98.0
2025-04-22T07:18:48+1000,Walking,135.0
2025-04-20T10:46:33+1000,Walking,169.0
2025-04-18T07:56:52+1000,Walking,282.0
2025-04-17T07:18:45+1000,Traditional Strength Training,215.0
2025-04-17T06:26:19+1000,Walking,75.0
